train/epoch,test/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Min,debug/MSE improvement over random Max,debug/MSE improvement over random Std,train/loss,debug/MSE of random decoding Mean,beta,debug/MSE of reconstruction,debug/MSE of random decoding Max,train/KL,debug/MSE of random decoding Std,debug/MSE improvement over random Mean,train/Log Prob,test/loss,test/KL
80,-903.8791687011719,0.0,0.009386801,0.067689456,0.0107200565,216.24339447021484,0.04272808,10.0,0.006138754,1.0,12.112895135879517,0.19869447,0.036589324,-95.11444404602051,1027.0476318359374,12.316846561431884
81,-1154.6684631347657,0.0,0.0070033143,0.054306474,0.009514353,215.7601988220215,0.044507798,10.0,0.004735351,1.0,12.103013668060303,0.20283629,0.03977244,-94.73006118774414,1276.9479248046875,12.227945709228516
82,-463.9893280029297,0.0,0.0047901534,0.051537603,0.008393871,215.21641006469727,0.044750325,10.0,0.0064151958,1.0,12.045237159729004,0.20295055,0.038335126,-94.76403762817382,586.8333190917969,12.284399509429932
83,-944.7856689453125,0.0,-0.004295094,0.05181828,0.01079309,218.0503758239746,0.04202068,10.0,0.007824467,1.0,12.116461448669433,0.19695291,0.034196205,-96.88576164245606,1065.1900695800782,12.040441417694092
84,-237.8093276977539,0.0,0.015124936,0.054036688,0.009341354,214.3705323791504,0.041952495,10.0,0.0013220923,1.0,12.040241422653198,0.19694376,0.0406304,-93.96811920166016,364.67737731933596,12.686804485321044
85,-484.38652954101565,0.0,0.019007565,0.053778425,0.00890866,213.84660293579103,0.043035597,10.0,0.0014358165,1.0,12.020512552261353,0.19958448,0.041599777,-93.64147720336913,609.0959655761719,12.470943450927734
86,-188.09266662597656,0.0,0.0138078155,0.06658953,0.009426816,211.6287092590332,0.044002227,10.0,0.001897658,1.0,12.040384635925292,0.20159937,0.04210457,-91.22486351013184,314.10084228515626,12.60081787109375
87,-260.716535949707,0.0,0.017428974,0.05806378,0.007878286,210.9460955810547,0.045070224,10.0,0.0029149274,1.0,12.0183172416687,0.20402236,0.04215531,-90.76292358398437,385.7597351074219,12.504320526123047
88,-650.7853332519531,0.0,0.008264531,0.06470389,0.00961146,211.05569793701173,0.045655552,10.0,0.004116765,1.0,12.001715421676636,0.2054819,0.04153879,-91.03854370117188,772.9613891601563,12.217605018615723
89,-236.16901397705078,0.0,0.0071219383,0.053890172,0.00994326,211.60230590820314,0.043667737,10.0,0.0027515686,1.0,12.013184442520142,0.20086078,0.04091617,-91.47046096801758,362.29283752441404,12.612382507324218
90,-492.06398620605466,0.0,0.018136831,0.05479371,0.008503339,210.6413410949707,0.043791816,10.0,0.0020982448,1.0,12.011878843307494,0.20124777,0.04169358,-90.52255187988281,615.864013671875,12.380002975463867
91,-218.93390960693358,0.0,0.015116029,0.047094263,0.00810363,211.8898146057129,0.04534398,10.0,0.013338487,1.0,12.058494529724122,0.20432535,0.032005485,-91.30486938476562,343.7958251953125,12.486191272735596
92,-755.5156555175781,0.0,0.0076971967,0.0643798,0.010215681,209.88789703369142,0.040870227,10.0,0.0026796886,1.0,11.988468255996704,0.1943684,0.038190536,-90.00321388244629,877.5420959472656,12.202643871307373
93,-214.16387786865235,0.0,0.011033898,0.053526502,0.008638842,208.60205123901366,0.044308636,10.0,0.002075503,1.0,11.98851417541504,0.20253117,0.04223314,-88.71690887451172,337.4624359130859,12.329855346679688
94,-211.77867431640624,0.0,0.014936028,0.0578987,0.009251562,208.39431686401366,0.042331632,10.0,0.00126077,1.0,11.984306859970093,0.19790591,0.041070856,-88.55124725341797,336.9391235351562,12.516044998168946
95,-364.14805908203124,0.0,0.018890193,0.051174242,0.00828747,208.60398727416992,0.04500455,10.0,0.009076599,1.0,11.980217828750611,0.20436916,0.03592795,-88.80180976867676,487.75738830566405,12.360932731628418
96,-2824.104248046875,0.0,0.019903008,0.04755588,0.0074241497,207.2599546813965,0.04445698,10.0,0.008152077,1.0,11.966776571273805,0.20270799,0.036304906,-87.59218955993653,2940.243994140625,11.613976955413818
97,-561.749462890625,0.0,0.0023757871,0.04725802,0.009228248,208.2481362915039,0.043156315,10.0,0.008405609,1.0,11.99628698348999,0.20016767,0.034750693,-88.28526603698731,683.2425231933594,12.149307346343994
98,-327.1012588500977,0.0,0.012166654,0.05279482,0.009769404,205.41700637817382,0.043929562,10.0,0.0033683993,1.0,11.90670744895935,0.20168063,0.040561162,-86.34993133544921,453.52752990722655,12.642626762390137
99,-195.9540802001953,0.0,0.009195011,0.056106392,0.00873946,208.82508392333983,0.044855755,10.0,0.00096170144,1.0,11.96325186729431,0.20352794,0.043894053,-89.19256523132324,320.6554809570313,12.47013988494873
100,-320.7050811767578,0.0,0.015864965,0.051538385,0.008883362,208.2286460876465,0.043657176,10.0,0.004028059,1.0,11.939161977767945,0.20083411,0.03962913,-88.8370262145996,444.17279357910155,12.346770763397217
